NUMBER  NAME        TRIES / CATCHES

[001]	Bulbasaur	81 / 4
[002]	Ivysaur		8 / 2
[003]	Venusaur	828 / 134
[004]	Charmander	77 / 10
[005]	Charmeleon	35 / 8
[006]	Charizard	902 / 124
[007]	Squirtle	0 / 0
[008]	Wartortle	11 / 2
[009]	Blastoise	1563 / 242
[010]	Caterpie	61 / 37
[011]	Metapod		10 / 3
[012]	Butterfree	4 / 2
[013]	Weedle		22 / 13
[014]	Kakuna		22 / 1
[015]	Beedrill	55 / 12
[016]	Pidgey		68 / 13
[017]	Pidgeotto	84 / 18
[018]	Pidgeot		298 / 42
[019]	Rattata		150 / 106
[020]	Raticate	382 / 37
[021]	Spearow		36 / 21
[022]	Fearow		159 / 13
[023]	Ekans		2 / 2
[024]	Arbok		22 / 5
[025]	Pikachu		262 / 43
[026]	Raichu		3 / 1
[027]	Sandshrew	32 / 3
[028]	Sandslash	76 / 9
[029]	Nidoran Female	33 / 20
[030]	Nidorina	43 / 5
[031]	Nidoqueen	68 / 14
[032]	Nidoran Male	66 / 8
[033]	Nidorino	41 / 4
[034]	Nidoking	235 / 24
[035]	Clefairy	1 / 1
[036]	Clefable	283 / 39
[037]	Vulpix		16 / 2
[038]	Ninetales	41 / 6
[039]	Jigglypuff	1 / 1
[040]	Wigglytuff	9 / 1
[041]	Zubat		7 / 1
[042]	Golbat		168 / 24
[043]	Oddish		6 / 3
[044]	Gloom		301 / 47
[045]	Vileplume	51 / 5
[046]	Paras		1 / 1
[047]	Parasect	1 / 1
[048]	Venonat		1 / 1
[049]	Venomoth	52 / 8
[050]	Diglett		23 / 9
[051]	Dugtrio		65 / 8
[052]	Meowth		1 / 1
[053]	Persian		1 / 1
[054]	Psyduck		1 / 1
[055]	Golduck		2 / 1
[056]	Mankey		1 / 1
[057]	Primeape	20 / 5
[058]	Growlithe	8 / 1
[059]	Arcanine	498 / 90
[060]	Poliwag		317 / 290
[061]	Poliwhirl	328 / 51
[062]	Poliwrath	5 / 1
[063]	Abra		2368 / 554
[064]	Kadabra		21 / 2
[065]	Alakazam	3227 / 535
[066]	High Alakazam	0 / 0
[067]	Machop		24 / 7
[068]	Machoke		13 / 3
[069]	Machamp		60 / 6
[070]	Bellsprout	52 / 19
[071]	Weepinbell	28 / 6
[072]	Victreebel	182 / 22
[073]	Tentacool	276 / 234
[074]	Tentacruel	309 / 41
[075]	Geodude		92 / 14
[076]	Graveler	361 / 48
[077]	Golem		188 / 35
[078]	Ponyta		20 / 7
[079]	Rapidash	9 / 3
[080]	Slowpoke	8 / 3
[081]	Slowbro		1 / 1
[082]	Magnemite	68 / 12
[083]	Magneton	104 / 19
[084]	Farfetch'd	15 / 5
[085]	Doduo		8 / 2
[086]	Dodrio		3 / 1
[087]	Seel		343 / 55
[088]	Dewgong		291 / 45
[089]	Grimer		7 / 2
[090]	Muk		4 / 2
[091]	Shellder	421 / 90
[092]	Cloyster	290 / 35
[093]	Gastly		359 / 31
[094]	Haunter		31 / 5
[095]	Gengar		193 / 23
[096]	Onix		436 / 50
[097]	Drowzee		4 / 2
[098]	Hypno		3 / 2
[099]	Krabby		321 / 301
